Year,Date,Region,Round,PTS,OT,Diff,Location,WinningTeam,WinningSeed,LosingTeam,LosingSeed
2019,"March 21, 2019",East,First Round,65,False,11,"Des Moines, IA",Michigan State,2,Bradley,15
2019,"March 21, 2019",West,First Round,69,False,7,"Hartford, CT",Florida State,4,Vermont,13
2019,"March 21, 2019",Midwest,First Round,68,False,16,"Jacksonville, FL",Wofford,7,Seton Hall,10
2019,"March 21, 2019",West,First Round,55,False,19,"Des Moines, IA",Michigan,2,Montana,15
2019,"March 21, 2019",East,First Round,77,False,2,"Jacksonville, FL",Maryland,6,Belmont,11
2019,"March 21, 2019",South,First Round,57,False,4,"Hartford, CT",Villanova,6,Saint Mary's,11
2019,"March 21, 2019",East,First Round,74,False,5,"Jacksonville, FL",LSU,3,Yale,14
2019,"March 20, 2019",East,First Four,74,False,4,"Dayton, OH",North Dakota State,16,North Carolina Central,16
2019,"March 20, 2019",West,First Four,65,False,9,"Dayton, OH",Arizona State,11,St. John's (NY),11
2019,"March 19, 2019",East,First Four,70,False,11,"Dayton, OH",Belmont,11,Temple,11
2019,"March 19, 2019",West,First Four,76,False,6,"Dayton, OH",Fairleigh Dickinson,16,Prairie View,16
2018,"April 2, 2018",National,National Final,62,False,17,"San Antonio, TX",Villanova,1,Michigan,3
2018,"March 31, 2018",National,National Semifinal,57,False,12,"San Antonio, TX",Michigan,3,Loyola (IL),11
2018,"March 31, 2018",National,National Semifinal,79,False,16,"San Antonio, TX",Villanova,1,Kansas,1
2018,"March 25, 2018",East,Regional Final,59,False,12,"Boston, MA",Villanova,1,Texas Tech,3
2018,"March 25, 2018",Midwest,Regional Final,81,True,4,"Omaha, NE",Kansas,1,Duke,2
2018,"March 24, 2018",South,Regional Final,62,False,16,"Atlanta, GA",Loyola (IL),11,Kansas State,9
2018,"March 24, 2018",West,Regional Final,54,False,4,"Los Angeles, CA",Michigan,3,Florida State,9
2018,"March 23, 2018",Midwest,Regional Semifinal,76,False,4,"Omaha, NE",Kansas,1,Clemson,5
2018,"March 23, 2018",East,Regional Semifinal,65,False,13,"Boston, MA",Texas Tech,3,Purdue,2
2018,"March 23, 2018",Midwest,Regional Semifinal,65,False,4,"Omaha, NE",Duke,2,Syracuse,11
2018,"March 23, 2018",East,Regional Semifinal,78,False,12,"Boston, MA",Villanova,1,West Virginia,5
2018,"March 22, 2018",South,Regional Semifinal,58,False,3,"Atlanta, GA",Kansas State,9,Kentucky,5
2018,"March 22, 2018",West,Regional Semifinal,72,False,27,"Los Angeles, CA",Michigan,3,Texas A&M,7
2018,"March 22, 2018",West,Regional Semifinal,60,False,15,"Los Angeles, CA",Florida State,9,Gonzaga,4
2018,"March 22, 2018",South,Regional Semifinal,68,False,1,"Atlanta, GA",Loyola (IL),11,Nevada,7
2018,"March 18, 2018",South,Second Round,73,False,2,"Nashville, TN",Nevada,7,Cincinnati,2
2018,"March 18, 2018",West,Second Round,65,False,21,"Charlotte, NC",Texas A&M,7,UNC,2
2018,"March 18, 2018",South,Second Round,43,False,7,"Charlotte, NC",Kansas State,9,UMBC,16
2018,"March 18, 2018",Midwest,Second Round,53,False,31,"San Diego, CA",Clemson,5,Auburn,4
2018,"March 18, 2018",Midwest,Second Round,53,False,2,"Detroit, MI",Syracuse,11,Michigan State,3
2018,"March 18, 2018",West,Second Round,70,False,5,"Nashville, TN",Florida State,9,Xavier,1
2018,"March 18, 2018",East,Second Round,71,False,23,"San Diego, CA",West Virginia,5,Marshall,13
2018,"March 18, 2018",East,Second Round,73,False,3,"Detroit, MI",Purdue,2,Butler,10
2018,"March 17, 2018",South,Second Round,75,False,20,"Boise, ID",Kentucky,5,Buffalo,13
2018,"March 17, 2018",East,Second Round,58,False,23,"Pittsburgh, PA",Villanova,1,Alabama,9
2018,"March 17, 2018",Midwest,Second Round,79,False,4,"Wichita, KS",Kansas,1,Seton Hall,8
2018,"March 17, 2018",South,Second Round,62,False,1,"Dallas, TX",Loyola (IL),11,Tennessee,3
2018,"March 17, 2018",West,Second Round,63,False,1,"Wichita, KS",Michigan,3,Houston,6
2018,"March 17, 2018",Midwest,Second Round,62,False,25,"Pittsburgh, PA",Duke,2,Rhode Island,7
2018,"March 17, 2018",East,Second Round,66,False,3,"Dallas, TX",Texas Tech,3,Florida,6
2018,"March 17, 2018",West,Second Round,84,False,6,"Boise, ID",Gonzaga,4,Ohio State,5
2018,"March 16, 2018",East,First Round,68,False,17,"San Diego, CA",West Virginia,5,Murray State,12
2018,"March 16, 2018",Midwest,First Round,58,False,4,"San Diego, CA",Auburn,4,College of Charleston,13
2018,"March 16, 2018",West,First Round,66,False,18,"Charlotte, NC",UNC,2,Lipscomb,15
2018,"March 16, 2018",West,First Round,54,False,13,"Nashville, TN",Florida State,9,Missouri,8
2018,"March 16, 2018",South,First Round,54,False,20,"Charlotte, NC",UMBC,16,Virginia,1
2018,"March 16, 2018",South,First Round,83,True,4,"Nashville, TN",Nevada,7,Texas,10
2018,"March 16, 2018",East,First Round,62,False,17,"Detroit, MI",Butler,10,Arkansas,7
2018,"March 16, 2018",South,First Round,59,False,10,"Charlotte, NC",Kansas State,9,Creighton,8
2018,"March 16, 2018",South,First Round,53,False,15,"Nashville, TN",Cincinnati,2,Georgia State,15
2018,"March 16, 2018",Midwest,First Round,68,False,11,"San Diego, CA",Clemson,5,New Mexico State,12
2018,"March 16, 2018",West,First Round,83,False,19,"Nashville, TN",Xavier,1,Texas Southern,16
2018,"March 16, 2018",Midwest,First Round,52,False,5,"Detroit, MI",Syracuse,11,TCU,6
2018,"March 16, 2018",East,First Round,48,False,26,"Detroit, MI",Purdue,2,Cal State Fullerton,15
2018,"March 16, 2018",East,First Round,75,False,6,"San Diego, CA",Marshall,13,Wichita State,4
2018,"March 16, 2018",Midwest,First Round,78,False,4,"Detroit, MI",Michigan State,3,Bucknell,14
2018,"March 16, 2018",West,First Round,69,False,4,"Charlotte, NC",Texas A&M,7,Providence,10
2018,"March 15, 2018",East,First Round,83,False,3,"Pittsburgh, PA",Alabama,9,Virginia Tech,8
2018,"March 15, 2018",Midwest,First Round,67,False,22,"Pittsburgh, PA",Duke,2,Iona,15
2018,"March 15, 2018",South,First Round,47,False,26,"Dallas, TX",Tennessee,3,Wright State,14
2018,"March 15, 2018",West,First Round,47,False,14,"Wichita, KS",Michigan,3,Montana,14
2018,"March 15, 2018",East,First Round,61,False,26,"Pittsburgh, PA",Villanova,1,Radford,16
2018,"March 15, 2018",West,First Round,65,False,2,"Wichita, KS",Houston,6,San Diego State,11
2018,"March 15, 2018",South,First Round,68,False,21,"Boise, ID",Buffalo,13,Arizona,4
2018,"March 15, 2018",Midwest,First Round,83,False,11,"Wichita, KS",Seton Hall,8,NC State,9
2018,"March 15, 2018",Midwest,First Round,60,False,16,"Wichita, KS",Kansas,1,Penn,16
2018,"March 15, 2018",South,First Round,73,False,5,"Boise, ID",Kentucky,5,Davidson,12
2018,"March 15, 2018",West,First Round,73,False,8,"Boise, ID",Ohio State,5,South Dakota State,12
2018,"March 15, 2018",South,First Round,62,False,2,"Dallas, TX",Loyola (IL),11,Miami (FL),6
2018,"March 15, 2018",West,First Round,64,False,4,"Boise, ID",Gonzaga,4,UNC Greensboro,13
2018,"March 15, 2018",Midwest,First Round,78,True,5,"Pittsburgh, PA",Rhode Island,7,Oklahoma,10
2018,"March 15, 2018",East,First Round,60,False,10,"Dallas, TX",Texas Tech,3,Stephen F. Austin,14
2018,"March 15, 2018",East,First Round,62,False,15,"Dallas, TX",Florida,6,St. Bonaventure,11
2018,"March 14, 2018",West,First Four,46,False,18,"Dayton, OH",Texas Southern,16,North Carolina Central,16
2018,"March 14, 2018",Midwest,First Four,56,False,4,"Dayton, OH",Syracuse,11,Arizona State,11
2018,"March 13, 2018",East,First Four,58,False,7,"Dayton, OH",St. Bonaventure,11,UCLA,11
2018,"March 13, 2018",East,First Four,61,False,10,"Dayton, OH",Radford,16,LIU,16
2017,"April 3, 2017",National,National Final,65,False,6,"Glendale, AZ",UNC,1,Gonzaga,1
2017,"April 1, 2017",National,National Semifinal,73,False,4,"Glendale, AZ",Gonzaga,1,South Carolina,7
2017,"April 1, 2017",National,National Semifinal,76,False,1,"Glendale, AZ",UNC,1,Oregon,3
2017,"March 26, 2017",East,Regional Final,70,False,7,"New York, NY",South Carolina,7,Florida,4
2017,"March 26, 2017",South,Regional Final,73,False,2,"Memphis, TN",UNC,1,Kentucky,2
2017,"March 25, 2017",West,Regional Final,59,False,24,"San Jose, CA",Gonzaga,1,Xavier,11
2017,"March 25, 2017",Midwest,Regional Final,60,False,14,"Kansas City, MO",Oregon,3,Kansas,1
2017,"March 24, 2017",East,Regional Semifinal,50,False,20,"New York, NY",South Carolina,7,Baylor,3
2017,"March 24, 2017",South,Regional Semifinal,75,False,11,"Memphis, TN",Kentucky,2,UCLA,3
2017,"March 24, 2017",East,Regional Semifinal,83,True,1,"New York, NY",Florida,4,Wisconsin,8
2017,"March 24, 2017",South,Regional Semifinal,80,False,12,"Memphis, TN",UNC,1,Butler,4
2017,"March 23, 2017",Midwest,Regional Semifinal,66,False,32,"Kansas City, MO",Kansas,1,Purdue,4
2017,"March 23, 2017",West,Regional Semifinal,58,False,3,"San Jose, CA",Gonzaga,1,West Virginia,4
2017,"March 23, 2017",West,Regional Semifinal,71,False,2,"San Jose, CA",Xavier,11,Arizona,2
2017,"March 23, 2017",Midwest,Regional Semifinal,68,False,1,"Kansas City, MO",Oregon,3,Michigan,7
2017,"March 19, 2017",South,Second Round,67,False,12,"Sacramento, CA",UCLA,3,Cincinnati,6
2017,"March 19, 2017",South,Second Round,65,False,7,"Greenville, SC",UNC,1,Arkansas,8
2017,"March 19, 2017",Midwest,Second Round,70,False,20,"Tulsa, OK",Kansas,1,Michigan State,9
2017,"March 19, 2017",East,Second Round,81,False,7,"Greenville, SC",South Carolina,7,Duke,2
2017,"March 19, 2017",Midwest,Second Round,69,False,4,"Indianapolis, IN",Michigan,7,Louisville,2
2017,"March 19, 2017",South,Second Round,62,False,3,"Indianapolis, IN",Kentucky,2,Wichita State,10
2017,"March 19, 2017",East,Second Round,78,False,4,"Tulsa, OK",Baylor,3,USC,11
2017,"March 19, 2017",Midwest,Second Round,72,False,3,"Sacramento, CA",Oregon,3,Rhode Island,11
2017,"March 18, 2017",West,Second Round,73,False,6,"Salt Lake City, UT",Gonzaga,1,Northwestern,8
2017,"March 18, 2017",West,Second Round,66,False,25,"Orlando, FL",Xavier,11,Florida State,3
2017,"March 18, 2017",Midwest,Second Round,76,False,4,"Milwaukee, WI",Purdue,4,Iowa State,5
2017,"March 18, 2017",West,Second Round,71,False,12,"Buffalo, NY",West Virginia,4,Notre Dame,5
2017,"March 18, 2017",East,Second Round,39,False,26,"Orlando, FL",Florida,4,Virginia,5
2017,"March 18, 2017",South,Second Round,65,False,9,"Milwaukee, WI",Butler,4,Middle Tennessee,12
2017,"March 18, 2017",West,Second Round,60,False,9,"Salt Lake City, UT",Arizona,2,Saint Mary's,7
2017,"March 18, 2017",East,Second Round,62,False,3,"Buffalo, NY",Wisconsin,8,Villanova,1
2017,"March 17, 2017",Midwest,First Round,58,False,20,"Tulsa, OK",Michigan State,9,Miami (FL),8
2017,"March 17, 2017",South,First Round,80,False,17,"Sacramento, CA",UCLA,3,Kent State,14
2017,"March 17, 2017",East,First Round,65,False,22,"Greenville, SC",Duke,2,Troy,15
2017,"March 17, 2017",Midwest,First Round,72,False,12,"Sacramento, CA",Rhode Island,11,Creighton,6
2017,"March 17, 2017",South,First Round,64,False,39,"Greenville, SC",UNC,1,Texas Southern,16
2017,"March 17, 2017",East,First Round,65,False,1,"Tulsa, OK",USC,11,SMU,6
2017,"March 17, 2017",Midwest,First Round,62,False,38,"Tulsa, OK",Kansas,1,UC-Davis,16
2017,"March 17, 2017",South,First Round,61,False,14,"Sacramento, CA",Cincinnati,6,Kansas State,11
2017,"March 17, 2017",Midwest,First Round,63,False,15,"Indianapolis, IN",Louisville,2,Jacksonville State,15
