Team,g,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,Year
Oral Roberts Golden Eagles,33,40.3,23.8,54.0,0.44,17.0,35.7,0.477,6.8,18.3,0.369,14.8,22.1,0.67,11.2,24.6,35.8,13.5,6.2,4.0,13.1,16.8,69.2,2008
Purdue Boilermakers,34,,23.7,55.9,0.424,16.3,35.9,0.453,7.4,20.0,0.373,14.8,20.7,0.712,11.4,21.6,33.1,13.3,8.4,4.3,12.8,19.7,69.6,2008
Baylor Bears,32,,28.1,61.8,0.454,19.5,39.1,0.498,8.6,22.7,0.378,16.5,22.2,0.743,12.0,25.4,37.4,12.1,7.4,4.3,12.6,20.8,81.3,2008
Stanford Cardinal,36,40.6,25.0,55.8,0.449,19.5,40.7,0.48,5.5,15.1,0.366,15.3,22.1,0.694,13.3,25.9,39.1,14.6,4.4,5.2,12.3,17.0,70.9,2008
Cornell Big Red,28,40.2,27.1,55.8,0.485,18.9,35.9,0.528,8.1,19.9,0.409,14.0,18.4,0.761,9.2,24.3,33.5,15.3,6.1,3.1,13.6,18.2,76.3,2008
Texas A&M Aggies,36,,25.3,54.0,0.467,19.4,37.7,0.514,5.9,16.3,0.359,14.4,22.8,0.633,11.8,27.2,38.9,13.5,4.4,4.0,12.7,17.0,70.8,2008
BYU Cougars,35,40.1,25.9,56.3,0.46,17.7,34.5,0.515,8.1,21.8,0.373,13.8,21.1,0.655,10.4,28.2,38.6,16.8,5.9,3.9,14.1,17.7,73.7,2008
UCLA Bruins,39,40.1,26.4,55.5,0.476,20.9,39.8,0.525,5.5,15.7,0.35,15.3,20.8,0.732,12.6,24.1,36.7,14.4,7.3,4.3,12.6,14.6,73.5,2008
Mississippi Valley State Delta Devils,33,40.2,21.2,53.2,0.398,16.7,40.0,0.418,4.5,13.2,0.337,14.9,22.0,0.678,11.8,21.8,33.5,11.5,6.2,2.7,14.3,17.6,61.7,2008
Washington State Cougars,35,,23.3,49.0,0.475,17.2,32.4,0.53,6.1,16.6,0.368,13.7,18.9,0.728,7.8,22.0,29.8,13.8,6.2,2.9,10.2,15.3,66.4,2008
