Team,g,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,Year
Cincinnati Bearcats,33,40.3,25.4,58.3,0.436,18.7,39.1,0.479,6.7,19.2,0.349,18.4,26.6,0.69,14.3,26.8,41.1,14.9,5.4,6.8,13.2,17.8,75.9,2005
Iowa Hawkeyes,33,40.5,25.5,55.5,0.459,19.1,38.6,0.496,6.4,16.9,0.376,15.6,22.6,0.691,11.2,25.0,36.2,15.2,7.5,5.3,14.4,18.7,72.9,2005
Gonzaga Bulldogs,31,40.0,27.6,54.9,0.503,22.7,41.9,0.541,4.9,13.0,0.38,19.0,25.7,0.739,11.9,26.5,38.4,15.7,5.5,3.4,13.4,17.3,79.2,2005
Winthrop Eagles,33,40.3,23.2,52.2,0.445,16.6,33.9,0.488,6.7,18.3,0.364,14.9,22.0,0.677,11.2,23.7,35.0,14.5,8.2,3.8,14.1,18.7,68.0,2005
Illinois Fighting Illini,39,40.3,28.0,57.9,0.484,19.2,35.4,0.542,8.8,22.5,0.392,12.2,16.7,0.728,10.9,23.4,34.3,18.6,7.7,3.2,11.0,15.7,77.0,2005
Fairleigh Dickinson Knights,33,,27.1,59.8,0.453,20.5,40.9,0.501,6.6,19.0,0.348,12.9,19.4,0.666,12.4,24.0,36.4,15.1,7.2,4.4,14.1,18.9,73.7,2005
Kentucky Wildcats,34,40.4,26.5,57.1,0.464,20.1,38.4,0.523,6.4,18.7,0.343,14.2,21.4,0.663,12.3,22.9,35.2,15.0,9.1,4.3,13.1,17.1,73.6,2005
Eastern Kentucky Colonels,31,40.3,27.3,57.2,0.477,21.0,39.4,0.533,6.3,17.8,0.351,12.0,17.9,0.67,11.6,24.0,35.6,15.5,7.5,3.9,14.5,19.3,72.8,2005
Milwaukee Panthers,32,,26.0,58.1,0.447,17.8,35.1,0.506,8.2,23.0,0.356,14.9,21.2,0.703,13.2,22.8,35.9,14.1,8.3,3.6,13.6,19.1,75.0,2005
Alabama Crimson Tide,32,40.5,25.6,52.9,0.483,17.8,33.2,0.537,7.8,19.8,0.394,16.8,22.9,0.736,10.4,26.4,36.8,14.2,5.1,4.5,12.8,14.7,75.8,2005
Nevada Wolf Pack,32,40.2,24.7,54.1,0.457,22.0,44.0,0.5,2.7,10.1,0.27,17.4,24.6,0.707,12.3,27.3,39.7,15.0,7.0,5.2,14.5,15.8,69.5,2005
Texas Longhorns,31,40.3,26.3,57.7,0.456,18.5,37.5,0.493,7.8,20.2,0.388,16.4,23.5,0.697,13.5,26.1,39.6,13.1,6.0,4.3,14.0,17.7,76.9,2005
Oklahoma Sooners,33,40.2,27.5,57.8,0.476,21.0,40.3,0.521,6.5,17.5,0.372,13.6,19.8,0.69,13.0,22.5,35.5,15.5,8.8,4.1,13.6,18.4,75.2,2005
Niagara Purple Eagles,30,,27.8,63.8,0.435,18.8,38.7,0.485,9.0,25.1,0.359,20.0,26.4,0.76,15.7,25.0,40.7,15.8,6.9,3.3,12.9,18.9,84.6,2005
Pacific Tigers,31,40.3,25.6,51.5,0.497,19.1,34.6,0.553,6.5,17.0,0.382,15.1,20.4,0.743,10.0,25.6,35.6,14.9,5.0,3.1,13.7,14.7,72.8,2005
Pitt Panthers,29,40.3,25.4,54.0,0.471,19.4,38.1,0.51,6.0,15.9,0.379,15.4,23.3,0.659,14.3,23.8,38.0,15.1,6.5,4.1,14.4,17.1,72.3,2005
Texas Tech Red Raiders,33,40.3,28.2,59.3,0.476,23.8,48.2,0.495,4.4,11.1,0.396,15.9,21.1,0.756,11.2,23.9,35.0,16.8,7.8,3.7,12.8,16.8,76.8,2005
UCLA Bruins,29,40.5,25.8,57.0,0.452,19.4,38.5,0.504,6.4,18.6,0.346,15.7,21.9,0.719,11.8,25.0,36.8,14.4,5.8,2.6,16.0,18.3,73.7,2005
Utah Utes,35,40.0,23.9,46.5,0.514,19.5,33.0,0.59,4.4,13.5,0.328,15.7,22.0,0.715,10.7,23.4,34.1,14.7,6.0,2.7,14.4,14.5,68.0,2005
UTEP Miners,35,,25.7,55.9,0.461,19.8,39.5,0.501,5.9,16.3,0.364,17.3,21.9,0.792,11.0,23.2,34.2,16.5,7.3,3.0,12.2,16.6,74.7,2005
Wake Forest Demon Deacons,33,40.6,29.2,59.6,0.491,21.6,40.5,0.534,7.6,19.1,0.399,18.8,27.5,0.684,14.1,25.8,39.8,16.1,8.6,3.6,14.7,19.4,84.9,2005
Chattanooga Mocs,31,40.0,25.6,56.3,0.455,20.2,38.5,0.526,5.4,17.9,0.303,16.0,23.5,0.679,16.4,25.0,41.4,14.5,7.5,1.9,17.3,16.9,72.7,2005
Washington Huskies,35,40.3,31.5,64.9,0.485,24.1,45.7,0.528,7.3,19.1,0.384,16.1,22.0,0.733,14.9,22.3,37.3,18.9,8.2,2.5,14.3,20.5,86.5,2005
Montana Grizzlies,31,,23.7,51.8,0.458,17.8,35.2,0.506,5.9,16.6,0.354,16.1,23.8,0.677,10.4,25.7,36.1,13.7,5.9,3.0,17.0,17.2,69.4,2005
West Virginia Mountaineers,35,40.6,24.8,55.1,0.45,15.7,29.9,0.525,9.1,25.3,0.36,12.7,17.2,0.742,9.7,20.7,30.4,16.5,8.0,3.7,11.8,15.1,71.5,2005
Creighton Bluejays,34,40.3,24.2,53.5,0.452,15.6,32.7,0.476,8.6,20.8,0.414,14.2,19.4,0.73,9.9,21.4,31.3,14.2,6.9,3.3,12.1,17.6,71.2,2005
UAB Blazers,32,40.2,27.6,62.7,0.44,20.9,42.5,0.492,6.7,20.2,0.33,13.7,20.5,0.666,12.5,22.4,35.0,17.6,11.6,3.6,13.5,21.3,75.4,2004
Washington Huskies,31,40.3,28.7,61.6,0.466,22.2,43.3,0.513,6.5,18.4,0.353,18.1,25.4,0.713,12.3,23.3,35.6,16.2,7.3,2.9,15.2,21.5,82.0,2004
Boston College Eagles,34,40.6,24.1,52.9,0.455,20.3,41.4,0.491,3.8,11.6,0.326,16.1,23.6,0.679,12.5,23.5,36.0,16.0,7.1,3.0,13.4,15.8,68.0,2004
Utah Utes,33,,23.3,49.4,0.471,17.3,34.1,0.509,5.9,15.3,0.387,12.2,16.8,0.723,10.8,23.8,34.5,12.9,4.4,3.4,14.0,17.2,64.7,2004
Cincinnati Bearcats,32,40.2,27.1,59.2,0.458,19.7,40.0,0.492,7.4,19.1,0.387,15.1,22.6,0.669,13.1,24.3,37.4,16.2,7.5,5.3,12.3,19.4,76.7,2004
ETSU Buccaneers,33,40.2,28.7,62.4,0.459,22.6,44.8,0.504,6.1,17.6,0.347,15.9,23.1,0.689,12.5,26.0,38.5,15.3,11.6,5.8,15.6,16.9,79.3,2004
Georgia Tech Yellow Jackets,38,,27.1,58.2,0.465,20.1,39.1,0.513,7.0,19.2,0.366,15.4,22.3,0.692,11.3,26.1,37.4,15.2,8.9,4.5,15.2,20.9,76.6,2004
Northern Iowa Panthers,31,40.5,23.3,53.0,0.44,16.1,32.7,0.493,7.2,20.3,0.354,15.4,20.9,0.738,8.6,25.8,34.5,13.2,5.3,2.0,12.5,16.7,69.3,2004
Illinois Fighting Illini,33,40.3,26.9,57.5,0.467,19.9,37.5,0.53,7.0,20.1,0.349,12.0,17.3,0.695,11.5,23.3,34.9,17.1,6.8,3.7,12.2,18.7,72.8,2004
Murray State Racers,34,40.3,29.2,59.1,0.495,22.6,39.7,0.57,6.6,19.4,0.34,15.2,21.5,0.71,12.2,24.9,37.1,18.7,8.0,4.3,14.0,18.1,80.3,2004
Kansas Jayhawks,33,40.3,27.1,58.3,0.465,21.4,41.2,0.519,5.7,17.0,0.335,15.9,22.5,0.707,12.4,27.1,39.5,17.3,7.0,5.0,14.7,20.0,75.8,2004
UIC Flames,32,,25.3,56.2,0.451,20.4,43.3,0.47,4.9,12.8,0.385,13.9,21.9,0.636,13.2,22.0,35.2,14.6,7.7,2.7,12.7,17.9,69.5,2004
Kentucky Wildcats,32,,26.9,57.1,0.472,20.6,39.3,0.524,6.4,17.9,0.357,13.7,19.6,0.697,11.6,24.7,36.3,15.8,7.8,3.4,14.6,18.3,73.9,2004
Florida A&M Rattlers,32,,23.3,56.3,0.415,14.9,31.9,0.467,8.5,24.4,0.347,17.1,24.1,0.708,,,34.0,12.7,8.5,1.6,16.8,21.7,72.2,2004
Memphis Tigers,30,40.0,24.5,58.4,0.42,15.9,34.3,0.464,8.6,24.1,0.359,14.7,22.4,0.657,13.4,24.6,38.0,14.2,7.3,5.0,12.8,18.1,72.4,2004
South Carolina Gamecocks,34,40.4,24.9,57.3,0.434,18.2,37.0,0.493,6.6,20.3,0.327,13.7,20.3,0.674,12.4,23.6,36.0,14.7,8.8,5.2,13.2,17.9,70.1,2004
Mississippi State Bulldogs,30,40.7,27.4,58.9,0.465,20.8,40.2,0.517,6.6,18.6,0.354,15.9,23.9,0.664,14.8,26.2,41.0,13.9,9.3,4.4,15.3,16.3,77.3,2004
Monmouth Hawks,33,,22.8,54.6,0.417,15.6,34.2,0.458,7.2,20.5,0.35,15.5,21.0,0.74,9.2,23.8,33.0,13.8,7.6,2.5,13.5,17.5,68.3,2004
NC State Wolfpack,31,40.2,24.5,54.5,0.45,16.1,30.2,0.535,8.4,24.3,0.345,15.5,19.4,0.799,10.2,23.5,33.7,14.6,6.7,2.2,13.5,18.6,72.9,2004
Louisiana Ragin' Cajuns,29,40.0,27.5,59.1,0.465,19.3,37.1,0.52,8.2,22.0,0.371,13.9,20.2,0.689,11.8,22.3,34.1,16.3,9.0,2.1,14.4,18.6,77.0,2004
Oklahoma State Cowboys,35,,28.6,55.8,0.513,23.9,43.2,0.553,4.7,12.6,0.376,15.1,21.7,0.695,11.2,24.6,35.8,16.0,7.7,3.7,13.4,18.7,77.1,2004
Eastern Washington Eagles,30,40.5,24.9,52.5,0.475,18.9,36.2,0.523,6.0,16.3,0.367,14.3,20.3,0.706,9.3,21.3,30.6,16.0,6.4,1.6,15.1,20.2,70.1,2004
Pacific Tigers,33,40.3,23.2,49.5,0.468,17.2,32.9,0.523,5.9,16.5,0.357,16.6,22.6,0.736,9.2,24.2,33.4,14.5,5.9,3.1,14.3,17.0,68.8,2004
Providence Friars,29,40.2,24.7,54.9,0.45,16.9,33.2,0.508,7.9,21.7,0.362,13.7,19.1,0.72,11.8,21.9,33.7,15.7,9.1,4.9,14.9,16.2,71.0,2004
Pitt Panthers,36,40.7,25.1,53.4,0.471,20.9,39.8,0.527,4.2,13.6,0.306,13.6,20.8,0.652,12.9,23.7,36.7,14.5,6.0,4.7,12.6,14.8,67.9,2004
UCF Knights,31,,25.5,55.9,0.457,18.1,34.6,0.521,7.5,21.2,0.353,11.8,16.5,0.716,12.3,24.1,36.4,16.8,9.0,4.5,15.3,18.5,70.4,2004
Vanderbilt Commodores,33,40.2,25.5,56.8,0.449,17.5,35.1,0.5,8.0,21.7,0.367,14.2,20.0,0.711,11.1,23.7,34.8,16.4,7.5,3.4,12.7,17.5,73.2,2004
Western Michigan Broncos,31,,27.3,59.4,0.459,20.3,40.5,0.5,7.0,18.9,0.371,17.0,23.6,0.721,14.5,23.5,38.0,15.3,8.9,2.7,13.3,19.4,78.5,2004
Wisconsin Badgers,32,40.3,23.6,52.7,0.447,17.6,35.1,0.502,5.9,17.6,0.337,15.4,21.4,0.719,10.8,21.9,32.8,13.3,6.9,2.8,10.0,15.4,68.4,2004
Richmond Spiders,33,,22.3,54.3,0.411,16.6,35.9,0.463,5.7,18.4,0.31,14.2,19.6,0.721,12.2,23.1,35.3,12.3,7.1,4.3,13.1,18.7,64.5,2004
Xavier Musketeers,37,40.1,24.5,55.6,0.441,16.9,35.2,0.479,7.7,20.4,0.376,14.5,21.0,0.689,11.9,24.0,35.9,13.4,6.8,2.4,12.4,16.7,71.2,2004
Louisville Cardinals,30,40.5,24.6,58.6,0.419,16.5,34.8,0.475,8.0,23.8,0.338,16.0,21.4,0.749,11.7,25.8,37.5,15.3,8.3,5.0,13.8,20.5,73.2,2004
Alabama Crimson Tide,33,,24.6,54.6,0.451,17.6,35.9,0.489,7.1,18.7,0.378,15.8,22.3,0.709,11.1,23.7,34.8,12.0,6.5,3.4,12.8,18.1,72.1,2004
Southern Illinois Salukis,30,40.0,26.2,59.2,0.443,20.1,40.9,0.491,6.2,18.3,0.338,12.4,18.0,0.689,13.1,22.1,35.2,14.1,10.1,3.0,12.0,19.2,71.0,2004
UConn Huskies,39,40.1,29.6,61.6,0.48,23.2,45.7,0.507,6.4,15.9,0.402,13.2,21.2,0.623,15.0,29.6,44.7,17.5,6.0,8.1,13.6,16.0,78.8,2004
Vermont Catamounts,31,40.0,23.7,56.1,0.422,17.1,36.2,0.473,6.5,19.9,0.329,12.1,17.8,0.679,11.6,24.7,36.3,14.4,7.0,2.8,12.5,15.3,66.0,2004
DePaul Blue Demons,32,40.6,25.4,54.8,0.463,20.3,40.8,0.498,5.1,14.1,0.362,14.6,21.0,0.697,11.9,24.3,36.2,13.7,5.5,2.3,13.2,17.6,70.5,2004
Dayton Flyers,33,40.5,23.6,52.9,0.447,17.4,33.4,0.52,6.3,19.5,0.321,14.5,21.7,0.665,12.4,26.0,38.4,14.8,4.5,2.8,14.2,17.5,68.0,2004
Duke Blue Devils,37,40.3,27.5,58.4,0.471,20.4,38.9,0.525,7.1,19.5,0.364,17.7,24.1,0.736,12.8,23.7,36.5,14.5,9.2,6.5,13.8,18.9,79.8,2004
Alabama State Hornets,31,,20.6,49.1,0.42,15.0,32.5,0.463,5.6,16.7,0.335,14.6,22.3,0.656,11.6,22.8,34.4,10.2,7.1,3.1,17.3,18.7,61.4,2004
Gonzaga Bulldogs,31,,29.0,56.9,0.509,22.7,41.1,0.553,6.3,15.8,0.397,17.5,23.4,0.75,11.2,28.5,39.7,17.9,6.2,3.7,13.5,16.1,81.8,2004
Valparaiso Beacons,31,40.3,24.7,56.1,0.44,19.4,38.9,0.498,5.3,17.3,0.308,16.8,23.9,0.705,11.9,26.3,38.2,15.3,6.8,3.1,16.1,22.3,71.5,2004
Manhattan Jaspers,31,,24.6,55.6,0.442,18.8,39.8,0.471,5.8,15.8,0.368,19.6,25.7,0.761,12.1,22.7,34.8,10.9,9.3,4.1,12.7,20.5,74.5,2004
Florida Gators,31,40.3,26.7,55.5,0.482,18.7,34.1,0.548,8.0,21.3,0.377,14.9,19.9,0.75,9.9,25.0,34.9,15.9,6.5,3.2,14.6,18.9,76.4,2004
Maryland Terrapins,32,40.6,27.8,63.2,0.441,22.7,47.8,0.474,5.2,15.3,0.337,16.6,26.3,0.631,15.2,26.2,41.3,14.1,8.6,6.7,15.2,19.7,77.4,2004
UTEP Miners,32,40.0,26.1,54.6,0.477,19.9,38.6,0.516,6.2,16.0,0.384,19.2,25.5,0.752,10.3,24.3,34.6,16.3,7.1,2.7,13.9,17.9,77.5,2004
Nevada Wolf Pack,34,,26.5,58.6,0.453,21.4,43.8,0.489,5.1,14.7,0.343,17.8,24.4,0.729,13.2,25.7,38.9,14.1,6.4,4.5,13.1,18.4,75.9,2004
Michigan State Spartans,30,40.7,24.9,50.6,0.492,18.6,34.8,0.534,6.3,15.8,0.401,15.1,19.5,0.771,9.0,21.3,30.3,14.7,7.1,1.8,14.6,21.0,71.3,2004
UNC Tar Heels,30,40.8,29.2,63.7,0.459,22.7,45.3,0.502,6.5,18.5,0.352,17.2,25.0,0.688,15.3,24.3,39.6,17.9,9.6,4.0,15.4,18.5,82.1,2004
Air Force Falcons,29,40.0,20.2,41.9,0.481,11.7,19.6,0.598,8.4,22.3,0.379,11.1,15.6,0.711,6.0,15.5,21.5,13.3,7.8,2.3,11.0,16.6,59.9,2004
St. Joseph's Hawks,32,,27.1,56.9,0.475,17.3,32.7,0.528,9.8,24.2,0.404,13.5,19.2,0.702,9.6,23.0,32.6,16.3,8.9,3.5,11.6,17.1,77.4,2004
Liberty Flames,33,,24.8,58.0,0.428,18.6,37.7,0.493,6.2,20.3,0.307,13.3,19.7,0.676,13.4,24.1,37.4,14.0,8.8,3.2,16.0,19.5,69.2,2004
Seton Hall Pirates,31,40.3,26.0,56.7,0.458,20.2,39.9,0.505,5.8,16.8,0.347,14.0,19.6,0.714,11.6,25.0,36.6,13.1,6.7,3.1,13.0,18.5,71.9,2004
Arizona Wildcats,30,40.0,31.4,64.6,0.486,24.1,45.7,0.528,7.3,18.9,0.386,17.0,21.7,0.786,14.0,25.2,39.2,18.7,6.9,4.5,14.9,16.1,87.1,2004
Stanford Cardinal,32,40.0,26.5,55.3,0.479,21.3,40.8,0.52,5.3,14.5,0.364,15.3,20.3,0.751,11.4,25.4,36.8,16.0,6.4,4.4,14.2,17.9,73.6,2004
UTSA Roadrunners,33,,24.6,57.5,0.429,17.5,37.8,0.464,7.1,19.6,0.361,16.4,23.5,0.697,12.6,25.1,37.6,12.8,7.6,3.0,17.1,19.2,72.7,2004
Syracuse Orange,31,40.2,27.3,58.9,0.464,22.8,45.1,0.505,4.5,13.9,0.328,13.9,21.6,0.643,13.6,24.4,38.1,15.0,7.6,6.6,12.8,17.9,73.1,2004
BYU Cougars,30,40.2,25.5,52.4,0.486,19.8,36.1,0.547,5.7,16.2,0.351,16.7,23.1,0.724,10.5,23.4,33.9,14.8,6.9,3.3,13.6,18.9,73.3,2004
Texas Longhorns,33,40.5,27.4,62.0,0.442,20.5,43.5,0.471,6.9,18.5,0.372,15.0,22.0,0.68,15.7,25.4,41.1,13.5,6.6,3.8,11.8,19.5,76.6,2004
Princeton Tigers,28,40.7,22.6,47.1,0.481,16.6,29.3,0.568,6.0,17.9,0.338,11.5,16.2,0.711,8.6,22.0,30.6,13.4,6.9,3.2,13.3,18.1,62.9,2004
Texas Tech Red Raiders,34,40.1,27.1,58.4,0.464,23.4,47.5,0.494,3.7,10.9,0.337,15.3,20.7,0.741,11.3,22.6,33.9,14.9,8.2,3.4,12.5,16.5,73.2,2004
Charlotte 49ers,30,40.8,27.1,60.2,0.45,19.3,37.4,0.516,7.7,22.7,0.34,17.3,26.6,0.649,14.7,26.0,40.7,16.1,8.8,3.0,15.3,19.0,79.1,2004
Wake Forest Demon Deacons,31,40.6,28.5,59.8,0.476,20.8,40.1,0.52,7.6,19.7,0.386,19.0,26.7,0.712,13.5,23.6,37.0,15.7,8.9,3.1,14.7,20.7,83.5,2004
VCU Rams,31,40.3,26.2,55.1,0.475,19.5,38.0,0.512,6.7,17.1,0.392,12.0,19.8,0.606,12.2,25.2,37.4,13.1,6.7,3.9,16.5,17.7,71.0,2004
Auburn Tigers,34,,25.9,55.6,0.465,20.0,38.7,0.517,5.8,16.9,0.346,13.3,20.1,0.66,12.3,23.0,35.3,13.4,7.9,5.2,15.9,16.5,70.8,2003
St. Joseph's Hawks,30,,24.2,54.6,0.443,16.2,32.6,0.496,8.0,21.9,0.363,14.1,20.5,0.686,11.3,24.0,35.3,13.9,7.2,5.5,12.9,18.8,70.4,2003
Butler Bulldogs,33,40.6,23.8,50.2,0.475,15.5,29.0,0.536,8.3,21.2,0.392,11.6,16.2,0.719,7.9,20.1,28.0,12.7,6.3,1.8,10.7,16.0,67.5,2003
Mississippi State Bulldogs,31,,26.0,55.4,0.469,20.4,39.1,0.523,5.6,16.4,0.341,11.8,17.5,0.674,12.1,25.0,37.0,14.4,8.6,3.7,15.5,15.8,69.4,2003
Florida Gators,33,40.5,26.8,56.2,0.476,18.1,34.0,0.532,8.7,22.3,0.39,13.1,18.6,0.703,10.7,24.2,34.8,16.4,7.5,4.0,13.3,16.9,75.3,2003
Sam Houston State Bearkats,30,,25.0,54.5,0.459,18.6,36.5,0.509,6.5,18.1,0.358,16.3,23.1,0.705,11.3,25.8,37.0,16.7,8.4,5.8,15.8,19.3,72.8,2003
Indiana Hoosiers,34,40.4,23.2,54.4,0.426,15.7,33.1,0.475,7.5,21.4,0.349,16.1,22.4,0.718,11.4,24.9,36.3,13.8,4.3,5.1,11.5,18.0,69.9,2003
Alabama Crimson Tide,29,40.2,24.0,57.0,0.42,17.7,37.4,0.472,6.3,19.6,0.322,14.8,20.8,0.713,13.4,23.8,37.2,12.1,6.4,3.9,13.1,18.2,69.0,2003
Kentucky Wildcats,36,,28.5,58.4,0.488,22.7,42.1,0.539,5.8,16.3,0.356,14.5,20.6,0.704,12.8,24.0,36.8,15.9,7.8,4.9,13.9,17.4,77.3,2003
IUPUI Jaguars,34,40.3,24.5,54.6,0.449,18.2,36.1,0.503,6.3,18.4,0.343,15.9,22.8,0.7,11.9,21.0,32.9,13.4,8.5,1.8,16.1,19.2,71.3,2003
Louisville Cardinals,32,,28.2,60.9,0.463,19.7,37.4,0.526,8.5,23.5,0.362,16.8,24.1,0.696,13.8,24.3,38.1,16.5,7.4,4.6,13.3,22.7,81.6,2003
Austin Peay Governors,31,40.6,24.5,53.2,0.46,18.3,35.3,0.517,6.2,17.8,0.347,16.0,23.2,0.69,10.9,24.0,35.0,13.7,7.3,4.6,15.4,18.3,71.1,2003
Maryland Terrapins,31,40.3,29.1,62.6,0.464,22.5,45.7,0.492,6.6,16.9,0.39,15.0,21.1,0.713,13.2,26.8,40.0,18.5,10.4,6.4,13.9,19.0,79.7,2003
UNC Wilmington Seahawks,31,40.3,25.8,56.4,0.459,18.9,37.6,0.502,7.0,18.7,0.372,12.8,18.5,0.692,10.0,23.0,33.0,14.7,9.1,1.9,11.4,18.5,71.4,2003
Michigan State Spartans,35,40.1,23.2,51.3,0.452,18.1,37.7,0.48,5.1,13.6,0.375,16.1,21.9,0.735,10.7,24.4,35.0,13.5,6.2,3.5,14.3,20.2,67.6,2003
Colorado Buffaloes,32,,27.2,61.3,0.443,22.2,46.1,0.482,5.0,15.2,0.326,15.9,23.7,0.669,14.4,27.8,42.2,13.3,6.1,6.7,14.0,17.8,75.2,2003
Oklahoma State Cowboys,32,40.2,25.0,55.8,0.448,20.1,40.3,0.499,4.9,15.5,0.317,14.6,22.5,0.65,12.4,24.3,36.7,12.8,8.9,5.3,14.8,20.1,69.5,2003
Penn Quakers,28,40.2,23.9,51.1,0.466,14.9,29.4,0.506,9.0,21.7,0.413,13.3,18.7,0.709,9.1,24.0,33.1,14.9,7.1,2.1,13.2,17.9,69.9,2003
Pitt Panthers,33,,27.1,53.5,0.506,20.8,36.2,0.574,6.3,17.3,0.364,14.5,22.7,0.64,11.2,25.3,36.5,17.8,8.2,4.1,14.7,17.9,74.9,2003
Wagner Seahawks,32,40.0,27.0,57.5,0.47,20.0,39.1,0.511,7.0,18.4,0.382,14.0,19.3,0.727,11.9,22.4,34.3,16.1,7.5,2.8,15.1,17.7,75.1,2003
Purdue Boilermakers,30,,23.8,54.6,0.437,18.6,39.0,0.477,5.2,15.6,0.336,19.0,25.2,0.752,10.4,23.4,33.8,12.0,7.2,2.8,13.8,19.9,71.9,2003
LSU Fighting Tigers,32,40.0,26.6,55.2,0.482,19.9,37.4,0.532,6.7,17.8,0.377,12.8,19.8,0.646,10.8,24.3,35.1,16.1,8.0,4.1,13.9,16.4,72.7,2003
Syracuse Orange,35,40.1,29.1,61.3,0.475,23.8,45.9,0.519,5.3,15.4,0.344,16.0,23.0,0.694,13.7,27.1,40.7,14.9,8.5,7.1,14.1,16.9,79.6,2003
Manhattan Jaspers,30,40.8,25.8,57.7,0.447,20.3,41.7,0.486,5.5,16.0,0.346,18.7,23.7,0.788,11.4,23.0,34.4,13.9,9.2,3.8,14.1,21.7,75.8,2003
Texas Longhorns,33,,27.8,62.3,0.446,21.8,45.6,0.478,5.9,16.7,0.356,17.9,24.8,0.721,16.1,25.9,42.0,14.5,6.2,3.7,13.1,20.5,79.3,2003
UNC Asheville Bulldogs,32,40.9,25.0,57.8,0.433,18.4,39.4,0.467,6.6,18.3,0.362,15.8,20.8,0.761,12.3,23.4,35.7,13.4,7.2,3.1,16.1,19.3,72.5,2003
Utah Utes,33,40.3,22.9,50.9,0.451,15.8,32.1,0.492,7.2,18.8,0.381,13.4,18.8,0.711,10.1,23.0,33.1,12.9,4.9,3.8,12.9,19.9,66.4,2003
Oregon Ducks,33,40.2,28.3,61.8,0.458,19.5,39.0,0.5,8.8,22.8,0.386,16.1,20.8,0.774,11.4,24.6,36.1,17.2,8.0,2.8,15.3,21.0,81.5,2003
Wake Forest Demon Deacons,31,40.3,26.0,57.4,0.453,19.8,39.3,0.504,6.2,18.1,0.341,19.7,26.2,0.752,14.8,26.9,41.7,14.2,6.5,4.6,15.3,18.6,77.8,2003
ETSU Buccaneers,31,,29.0,62.4,0.465,23.6,47.1,0.502,5.4,15.3,0.352,18.6,25.5,0.731,14.1,24.6,38.7,14.5,11.4,5.0,18.1,19.0,82.0,2003
Xavier Musketeers,32,,26.6,59.3,0.448,20.1,41.4,0.486,6.4,17.8,0.361,18.0,24.1,0.746,14.4,25.0,39.3,16.3,5.4,3.0,12.7,15.6,77.6,2003
Troy Trojans,32,40.0,28.6,66.1,0.432,18.8,37.5,0.502,9.8,28.6,0.341,13.0,18.9,0.686,15.2,25.0,40.2,15.5,9.7,5.2,13.6,16.6,79.9,2003
Arizona Wildcats,32,40.6,30.4,66.0,0.461,23.3,45.8,0.508,7.1,20.2,0.353,17.2,24.3,0.709,15.0,28.0,42.9,17.8,8.6,4.3,14.6,17.5,85.2,2003
Vermont Catamounts,33,40.3,25.3,56.7,0.447,19.9,40.9,0.486,5.4,15.8,0.344,12.9,19.4,0.666,12.9,26.4,39.2,14.5,7.0,3.1,14.5,15.8,68.9,2003
Arizona State Sun Devils,32,,27.7,57.4,0.482,23.6,44.8,0.526,4.1,12.6,0.324,17.5,26.0,0.674,13.6,22.8,36.3,15.8,5.4,4.3,13.7,19.6,77.0,2003
Memphis Tigers,30,,26.2,60.3,0.435,19.2,40.0,0.481,7.0,20.3,0.344,14.9,22.8,0.654,14.9,25.2,40.1,16.4,7.2,5.1,13.7,18.8,74.4,2003
California Golden Bears,31,,27.3,58.7,0.466,20.9,41.6,0.503,6.4,17.1,0.374,13.2,19.4,0.681,11.3,24.0,35.3,15.7,6.5,2.8,14.0,17.2,74.2,2003
NC State Wolfpack,31,40.3,24.4,53.4,0.456,16.4,31.0,0.528,8.0,22.5,0.356,15.7,20.5,0.77,9.4,22.5,31.9,14.7,7.7,3.2,14.2,18.7,72.5,2003
Central Michigan Chippewas,32,40.0,27.0,53.6,0.504,20.0,35.6,0.561,7.0,17.9,0.39,18.8,24.7,0.762,10.8,22.9,33.7,15.8,7.4,3.8,18.0,20.6,79.8,2003
Creighton Bluejays,34,40.1,28.6,57.5,0.498,20.7,37.1,0.557,7.9,20.4,0.39,13.8,19.9,0.693,11.0,23.0,34.0,16.9,8.3,4.5,13.6,17.4,79.1,2003
UConn Huskies,33,40.2,29.2,62.3,0.469,23.3,46.9,0.496,5.9,15.4,0.386,15.1,22.3,0.677,14.7,27.9,42.6,15.2,5.8,7.7,15.4,18.3,79.5,2003
BYU Cougars,32,40.2,23.9,51.7,0.463,17.8,35.5,0.502,6.1,16.2,0.375,18.0,23.8,0.755,11.0,24.4,35.4,13.4,6.9,2.6,13.6,21.5,71.8,2003
Duke Blue Devils,33,40.3,27.2,60.0,0.453,19.8,39.7,0.499,7.4,20.4,0.363,19.4,27.2,0.712,13.1,23.5,36.5,13.5,8.7,5.4,14.0,21.2,81.1,2003
Colorado State Rams,33,40.2,26.5,52.5,0.505,22.4,41.0,0.546,4.2,11.5,0.361,17.0,24.4,0.697,11.3,24.3,35.6,15.6,5.4,4.5,16.8,20.7,74.2,2003
