Team,Rk,Conf,AdjEM,AdjO,Strength_of_Schedule_AdjD,NCSOS_AdjT,Seed,W,L,g,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Delaware,145,CAA,2.28,106.8,100,104.6,15,22,12,34,40.3,26.1,55.6,0.469,18.5,34.1,0.543,7.6,21.5,0.352,14.0,18.9,0.743,8.6,24.2,32.8,12.7,6.6,3.7,12.6,15.6,73.8
Jacksonville State,146,ASun,2.24,105.3,132,103.1,15,21,10,31,40.2,26.4,56.0,0.472,17.1,32.0,0.535,9.3,24.0,0.388,11.8,17.3,0.681,9.6,27.4,36.9,14.5,6.2,2.9,13.3,14.1,73.9
Yale,147,Ivy,2.23,101.5,203,99.2,14,19,11,30,40.2,25.7,57.9,0.444,18.8,36.9,0.509,6.9,21.0,0.33,13.9,18.9,0.739,8.9,27.1,36.0,11.9,6.2,3.2,12.9,17.4,72.3
Cal State Fullerton,149,BW,2.1,104.7,144,102.6,15,21,10,31,40.0,24.8,55.4,0.447,19.3,38.7,0.498,5.5,16.7,0.33,15.2,19.9,0.763,9.7,23.9,33.5,11.3,7.3,2.0,12.3,16.0,70.3
Georgia State,151,SB,1.84,101.5,201,99.7,16,18,10,28,40.5,25.0,62.0,0.403,17.3,38.6,0.447,7.7,23.4,0.329,13.0,18.1,0.717,13.3,24.0,37.3,13.5,8.9,4.5,11.9,15.8,70.6
Norfolk State,168,MEAC,0.15,102.4,190,102.3,16,24,6,30,40.0,26.5,57.0,0.466,19.5,36.7,0.531,7.0,20.2,0.348,15.0,21.5,0.698,10.1,28.6,38.8,12.6,6.7,3.7,14.0,17.7,75.1
Wright State,182,Horz,-0.87,106.4,108,107.2,16,21,13,34,40.0,27.5,59.1,0.465,21.1,39.9,0.53,6.3,19.2,0.329,14.2,18.5,0.768,10.5,24.4,34.9,13.9,5.8,2.9,12.3,14.4,75.5
Bryant,183,NEC,-0.95,104.2,154,105.2,16,22,9,31,40.3,27.4,62.6,0.437,19.0,35.4,0.536,8.4,27.2,0.308,14.8,20.2,0.733,12.6,28.9,41.5,14.1,6.3,4.5,13.9,16.8,77.9
Texas Southern,188,SWAC,-1.33,98.1,270,99.4,16,18,12,30,40.2,25.4,58.0,0.437,19.6,39.8,0.492,5.8,18.2,0.317,12.7,19.0,0.671,12.1,27.4,39.5,10.7,5.6,5.0,14.9,17.8,69.2
Texas A&M-Corpus Christi,243,Slnd,-6.31,97.0,287,103.3,16,23,11,34,40.1,27.0,60.7,0.445,20.6,41.7,0.495,6.4,19.0,0.335,16.6,22.3,0.744,12.9,25.4,38.4,15.0,8.5,1.7,14.2,20.3,76.9
